url_length,tiny_url,pref_suf,https_token,iframe,anchor_tag,Favicon,SFH,requestURL,LinksInTags,label
34,1,1,0,1,1,1,0,1,1,1
40,1,1,1,1,1,1,0,1,0.666666667,0
48,1,1,1,1,1,1,1,1,0.777777778,0
33,1,1,1,1,0.948275862,1,0,1,0.827586207,0
66,1,1,0,1,0,1,1,0,0,0
42,1,0,1,1,1,0,0,1,0,1
82,1,0,1,1,0.23255814,1,1,0.5,0.871428571,0
32,1,1,1,1,1,1,1,0,0.117647059,0
30,1,1,1,1,1,0,0,0,0,0
80,1,1,0,1,1,1,0,0,0,0
64,1,1,0,1,0.614754098,1,0,1,0.571428571,0
83,1,1,1,1,0.993181818,0,0,1,0.333333333,0
35,1,1,1,1,1,0,0,0,0.166666667,1
44,0,1,1,1,0.88976378,1,0,0.931034483,0.85,0
46,1,1,1,1,0.108108108,0,0,1,0.910714286,0
70,1,0,1,1,1,1,0,0.227272727,0.454545455,1
29,1,1,0,1,1,0,0,0,0,1
89,0,1,0,1,0,0,0,0,0,1
86,1,0,1,1,1,0,0,0,0,1
33,1,1,1,1,0.309659091,1,1,0,0.733333333,0
47,1,1,1,1,1,0,0,0,0,0
41,1,1,0,1,1,1,1,0,0.5,1
73,1,1,1,1,1,1,0,0.913043478,0.904761905,0
51,1,1,1,1,0.974358974,1,0,0.416666667,1,0
70,1,1,1,1,0.221238938,1,1,0.5,0.333333333,0
63,1,1,1,1,0.695652174,1,1,0.9,0.666666667,0
96,0,1,1,1,1,0,1,0,0,0
24,1,1,1,1,0.98265896,1,0,0.966666667,0.785714286,0
54,1,0,0,1,0,1,0,0.130434783,0.5,1
95,1,1,0,1,1,1,0,1,0,1
27,1,1,1,1,0.703703704,0,1,0,0.604651163,0
37,1,1,1,1,1,0,1,1,0.666666667,0
26,1,1,1,1,1,1,1,0,0,1
25,1,1,1,1,0.747252747,1,1,0.03125,0.644444444,0
57,1,1,1,1,0.981818182,0,1,0,0.260869565,0
116,1,1,1,1,1,0,1,0,0,1
41,1,1,0,1,1,0,1,1,0.2,1
36,1,0,1,1,0,0,1,0,0.833333333,1
28,1,1,0,1,0.764705882,0,1,1,0.111111111,0
53,1,1,1,1,0.970588235,1,1,0.944444444,0.208333333,0
30,1,1,1,1,1,1,1,0.333333333,0.25,1
49,1,1,1,1,0.99122807,0,1,0.296610169,0.5,0
54,0,1,0,1,0,1,0,0,1,1
40,1,1,1,1,0.430379747,0,1,0.485714286,0,0
25,1,1,1,1,0,1,1,0,0,1
60,1,0,0,1,1,1,0,0,0.909090909,1
28,1,1,1,1,0.58490566,1,0,0,0.181818182,0
55,1,1,1,1,0,0,1,0,0.451612903,0
26,1,1,0,1,0.367346939,1,0,1,0.833333333,0
80,1,0,1,1,0,1,1,0,0,1
54,0,0,1,1,1,0,0,1,0.833333333,1
25,1,1,1,1,1,1,0,0,1,0
56,1,0,1,1,0,0,1,0,0,1
42,1,1,0,1,0,1,1,0,0,0
72,0,1,1,1,1,1,0,1,0.5,1
24,1,1,1,1,1,1,1,0,0.055555556,0
35,1,0,0,1,1,0,0,0.5,0,1
29,1,0,1,1,0.411764706,1,1,0.666666667,0.939393939,0
67,1,1,1,1,1,1,1,1,1,0
26,1,1,1,1,0.968421053,0,1,0,0.608695652,0
31,1,1,0,1,1,1,0,0,0.625,1
153,1,1,1,1,0.285714286,1,1,0,0,0
93,1,1,1,1,0.164383562,1,1,1,0.733333333,0
62,1,1,1,1,0.223214286,1,0,0.961538462,0.25,0
50,1,0,1,1,1,0,0,0,0,1
51,1,1,1,1,1,0,0,1,0.444444444,1
189,1,1,0,1,0,1,1,0,0,0
60,0,1,1,1,0.924242424,0,0,0,0,0
51,1,1,1,1,1,0,0,0,0,1
70,0,1,0,1,0.601208459,0,1,0,0.3125,0
50,0,1,1,1,0.296703297,0,0,0,0,0
58,1,1,1,1,0.307692308,1,0,0.466666667,0.28125,0
42,1,1,1,1,0,1,1,0,0.529411765,0
45,1,1,1,1,0,0,1,1,0.5,0
88,1,1,1,1,0.277777778,0,0,0.466666667,0.717948718,0
35,0,1,1,1,0.076923077,0,0,1,0.5,0
22,1,1,0,1,0,1,1,0,1,1
47,1,1,1,1,0.375,0,0,0,0,0
67,1,0,0,1,0,1,1,0,0,1
97,1,1,1,1,1,0,0,0,0,0
35,0,1,1,1,1,0,0,0,0,0
47,1,0,1,1,0,0,0,0,0.833333333,1
92,1,1,0,1,0,1,1,0,0,0
23,1,1,1,1,0.990740741,1,0,0.333333333,0.56,0
29,1,1,1,1,1,1,0,0,1,0
43,1,1,1,1,0.505050505,0,1,0.230769231,0.4,0
69,1,1,0,1,0,1,1,0,0,0
27,1,0,0,1,0.121621622,1,1,1,0.894736842,0
31,1,1,0,1,1,1,0,0,0.625,1
69,1,1,1,1,1,1,0,0,1,1
40,1,1,0,1,1,1,1,0,0,1
71,0,1,1,1,0.487179487,1,0,0,0.769230769,0
30,0,1,0,1,1,1,1,0,0,1
79,1,1,1,1,0.741935484,1,1,0.4,0.694444444,0
61,1,1,1,1,1,0,0,1,0.571428571,1
127,1,0,1,1,1,0,1,0,0,1
61,1,1,1,1,0.935064935,1,0,0,0.25,0
37,1,0,1,1,0,1,0,0,0,1
62,1,1,1,1,0.953488372,0,1,1,0.5,0
63,1,1,1,1,0.4,0,0,0.909090909,0.375,0
62,1,1,1,1,0.188118812,1,1,1,0.264705882,0
64,1,1,1,1,0.142857143,1,1,0,0.16,0
20,1,1,1,1,0,0,1,0,0,1
47,1,1,1,1,0.300813008,1,1,0,0.428571429,0
61,1,1,1,1,0.98013245,0,1,0,0.136363636,0
22,1,1,1,1,0.9,0,1,0,0,0
73,1,1,1,1,1,1,1,0,0.125,0
27,1,1,0,1,0,1,1,0,0,1
59,1,1,1,1,1,1,1,0.5,0.017467249,1
51,1,1,1,1,1,1,0,0,0.4,1
36,1,1,1,1,0.090909091,1,1,0,0.823529412,0
80,0,1,1,1,0.771428571,1,1,0,0.083333333,0
42,0,1,1,1,0,0,1,0,0.073529412,0
55,1,1,1,1,1,0,0,0.5,0.3,1
37,1,1,0,1,0,0,1,0,0.076923077,1
77,0,0,0,1,0,1,1,0,0,1
68,1,1,0,1,0,1,1,0,0,1
50,1,1,1,1,1,0,0,0,0.2,1
40,1,1,1,1,0.97826087,1,0,1,0.65625,0
24,1,1,1,1,1,0,1,0,0.111111111,0
66,1,1,1,1,0.984126984,1,1,0.195121951,0.133333333,0
72,1,1,1,1,0.953488372,1,0,0.875,0.666666667,0
91,1,1,1,1,0.070707071,1,0,0.088235294,0.525,0
58,1,1,1,1,0.494623656,1,1,0.1,0.076923077,0
55,1,0,0,1,1,0,1,0,0,1
55,0,1,1,1,0.993079585,1,1,1,0.9375,0
105,1,1,0,1,1,1,1,0.8,0.916666667,0
83,1,1,1,1,0.756493506,1,1,0,0.326923077,0
46,1,1,1,1,0.918367347,1,1,0.111111111,0.727272727,0
101,1,1,1,1,0,1,1,0,0,1
106,1,1,1,1,0.70212766,0,1,0,0.05,0
121,1,1,1,1,0.815489749,1,0,0.963636364,0.70212766,0
56,1,0,0,1,1,1,0,1,1,1
103,1,1,1,1,0,0,0,0,0,1
40,1,1,1,1,1,1,1,1,1,0
39,1,1,1,1,1,0,0,0,0,1
57,1,1,0,1,1,1,1,1,0.2,1
78,0,1,0,1,0.844660194,1,1,1,0.375,0
84,1,1,1,1,1,0,0,0,0,1
132,1,1,1,1,0.453488372,1,1,0.333333333,0.666666667,0
47,1,1,1,1,0.905882353,0,0,0.8,0.703703704,0
29,1,1,1,1,0.943661972,1,0,1,0.833333333,0
60,1,1,1,1,0,1,1,0,0,1
45,1,0,1,1,0.991780822,0,0,0.966666667,0.568181818,0
57,1,1,1,1,0,1,1,0,0,0
37,1,0,0,1,1,1,1,0,0.5,1
37,1,1,1,1,0,1,0,1,0.666666667,1
66,1,1,1,1,0.692307692,0,1,0,0.71875,0
47,1,0,1,1,1,0,0,1,0.833333333,1
67,1,1,1,1,0,0,0,1,0.142857143,1
34,1,1,0,1,1,1,0,1,1,1
41,1,1,1,1,0.98907767,1,1,0.125,0.132352941,0
